id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id,geschlecht
98,98,Hans,Grunder,,NR,BDP,BR,http://infocube.ch/de/p/926284/koepe-christian-karoly,926284.0,m
99,99,Jean-Paul,Gschwind,,NR,PDC,JU,,,m
100,100,Bernhard,Guhl,,NR,BDP,AG,,,m
101,101,Felix,Gutzwiller,,SR,FDP.Die Liberalen,ZH,https://infocube.ch/de/p/888313/brogli-urs/mandates,888313.0,m
102,102,Barbara Patricia,Gysi,,NR,SPS,SG,,,w
103,103,Brigitte,Häberli-Koller,,SR,CVP,TG,http://infocube.ch/de/p/864193/menzi-armin,864193.0,w
104,104,Philipp,Hadorn,,NR,SPS,SO,,,m
105,105,Ursula,Haller Vannini,,NR,BDP,BE,http://infocube.ch/de/search?q=Peter+St%C3%A4hli&defaultSearchEntryStatus=1&senden=Suchen,,w
106,106,Thomas,Hardegger,,NR,SPS,ZH,,,m
107,107,Hansjörg,Hassler,,NR,BDP,GR,0.0,0.0,m
108,108,Markus,Hausammann,,NR,SVP,TG,,,m
109,109,Claude,Hêche,,SR,PSS,JU,,,m
110,110,Alfred,Heer,,NR,SVP,ZH,,,m
111,111,Bea,Heim,,NR,SPS,SO,,,w
112,112,Hans,Hess,,SR,FDP.Die Liberalen,OW,,,m
113,113,Verena,Herzog,,NR,SVP,TG,0.0,0.0,w
114,114,Lorenz,Hess,,NR,BDP,BE,0.0,0.0,m
115,115,Hugues,Hiltpold,,NR,PLR.Les Libéraux-Radicaux,GE,https://infocube.ch/de/p/4757083/maudet-pierre-henri#activeMandates,4757083.0,m
116,116,Antonio,Hodgers,,NR,PES,GE,0.0,0.0,m
117,117,Gabi,Huber,,NR,FDP.Die Liberalen,UR,0.0,0.0,w
118,118,Ruth,Humbel,,NR,CVP,AG,0.0,0.0,w
119,119,Thomas,Hurter,,NR,SVP,SH,0.0,0.0,m
120,120,Markus,Hutter,,NR,FDP.Die Liberalen,ZH,http://infocube.ch/de/p/505270/vogt-valentin,505270.0,m
121,121,René,Imoberdorf,,SR,CVP,VS,,,m
122,122,Maja,Ingold,,NR,EVP,ZH,,,w
123,123,Claude,Janiak,,SR,SPS,BL,,,m
124,124,Beat,Jans,,NR,SPS,BS,http://infocube.ch/de/p/853105/wiener-freuler-daniel,853105.0,m
125,125,This,Jenny,,SR,SVP,GL,,,m
126,126,Rudolf,Joder,,NR,SVP,BE,https://infocube.ch/de/p/1065079/durst-marcel,1065079.0,m
127,127,Francine,John-Calame,,NR,PES,NE,,,w
128,128,Daniel,Jositsch,,NR,SPS,ZH,https://infocube.ch/de/p/713874/kyburz-peter#activeMandates,713874.0,m
129,129,Hans,Kaufmann,,NR,SVP,ZH,,,m
130,130,Peter,Keller,,NR,SVP,NW,0.0,0.0,m
131,131,Karin,Keller-Sutter,,SR,FDP.Die Liberalen,SG,Kein Eintrag,,w
132,132,Margrit,Kessler,,NR,glp,SG,,,w
133,133,Margareta,Kiener Nellen,,NR,SPS,BE,,,w
134,134,Hans,Killer,,NR,SVP,AG,https://infocube.ch/de/p/681493/glutz-urs,681493.0,m
135,135,Hansjörg,Knecht,,NR,SVP,AG,0.0,0.0,m
136,136,Alexander,Kuprecht,,SR,SVP,SZ,0.0,0.0,m
137,137,Martin,Landolt,,NR,BDP,GL,,,m
138,138,Markus,Lehmann,,NR,CVP,BS,,,m
139,139,Ueli,Leuenberger,,NR,PES,GE,http://infocube.ch/de/p/1022882/maxwell-sigurd,1022882.0,m
