id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id
211,211,Elisabeth,Schneider-Schneiter,"",NR,CVP,BL,https://infocube.ch/de/p/5190083/saladin-franz,5190083.0
212,212,"Jean Christophe",Schwaab,"",NR,PSS,VD,"",""
213,213,Urs,Schwaller,"",SR,CVP,FR,"",""
214,214,Pirmin,Schwander,"",NR,SVP,SZ,0.0,0.0
215,215,Silva,Semadeni,"",NR,SPS,GR,"",""
216,216,Anne,Seydoux-Christe,"",SR,PDC,JU,https://infocube.ch/de/p/6525747/oberbeck-simon,6525747.0
217,217,Carlo,Sommaruga,"",NR,PSS,GE,infocube.ch/de/p/970677/niggli-peter,970677.0
218,218,Markus,Stadler,"",SR,glp,UR,http://infocube.ch/de/p/4663719/rey-alfred,4663719.0
219,219,"Jürg",Stahl,"",NR,SVP,ZH,http://infocube.ch/de/p/6522394/grichting-thomas#activeMandates,6522394.0
220,220,Luzius,Stamm,"",NR,SVP,AG,http://infocube.ch/de/p/4931043/buholzer-rene-paul,4931043.0
221,221,"Jean-François",Steiert,"",NR,PSS,FR,http://infocube.ch/de/p/872550/ziltener-erika,872550.0
222,222,Hans,"Stöckli","",SR,SPS,BE,0.0,0.0
223,223,Daniel,Stolz,"",NR,"FDP.Die Liberalen",BS,0.0,0.0
224,224,Marianne,Streiff-Feller,"",NR,EVP,BE,http://infocube.ch/de/p/729397/saxenhofer-peter-eugen-seraphin#activeMandates,729397.0
225,225,Georges,Theiler,"",SR,"FDP.Die Liberalen",LU,0.0,0.0
226,226,"Adèle","Thorens Goumaz","",NR,PES,VD,"",""
227,227,Manuel,Tornare,"",NR,PSS,GE,"Zu ungenau",""
228,228,Aline,Trede,"",NR,GPS,BE,0.0,0.0
229,229,Alexander,"Tschäppät","",NR,SPS,BE,"",""
230,230,Andy,"Tschümperlin","",NR,SPS,SZ,"",""
231,231,Christian,"van Singer","",NR,PES,VD,https://infocube.ch/de/p/6702969/michaud-gigon-sophie-alda-linette#activeMandates,6702969.0
232,232,"Pierre-François",Veillon,"",NR,UDC,VD,https://infocube.ch/de/p/4442814/schneuwly-felix,4442814.0
233,233,Daniel,Vischer,"",NR,GPS,ZH,"Zu ungenau",""
234,234,Albert,Vitali,"",NR,"FDP.Die Liberalen",LU,"",""
