id,badgegeber_id,name,deklarierte_funktion,infocubeAPI,infocube_id,infoCubeDiff,noga,bemerkungen,,rote_flagge
396,150,Lukas Schürch,Neue Europäische Bewegung Schweiz (Nebs),4227564,,,0,,,
151,151,Andreas Tschöpe,Conseil Suisse des Activités de Jeunesse,6535069,,,0,,,
397,151,Mohamed Hamdaoui,Syndicom,6657780,6657780,,Activities of trade unions,,,
152,152,Hannes Rettenmund,Persönlicher Mitarbeiter,0,,,Pension funding,,,
398,152,Andreas Schefer,SRG Deutschschweiz,6348926,6348926,,0,,,
153,153,Doris Güttinger,Fédération suisse des sages-femmes (SHV/FSSF,0,,,0,,,
399,153,Marie Pasquier Maridat,Persönliche Mitarbeiterin,0,,,0,,,
154,154,Babette Sigg Frank,CVP-Frauen Schweiz,0,p29001217247,,0,,,
400,154,François Tissot-Daguette,La Poste,913416,,,,,,
155,155,Claudio Kuster,Persönlicher Mitarbeiter,7025877,,,Pension funding,,,
401,155,0,0,0,0,,0,0,,0
156,156,Maxim Wuersch,Persönlicher Mitarbeiter,0,,,Pension funding,,,
402,156,Johan Rochel,Persönlicher Mitarbeiter,5344538,,,Pension funding,,,
157,157,Thomas Pletscher,economiesuisse,4654461,975318,,Activities of business and employers membership organisations,,,
403,157,Patrick Kneubühl,Treuhand Suisse,5564125,,,"Accounting, bookkeeping and auditing activities; tax consultancy",,,
158,158,Markus Flury,Schweizer Musikrat (SMR),5376074,,,0,,,
404,158,0,0,0,0,,0,0,,0
159,159,Martin Bosshard,Bio Suisse,5736081,,,"Wholesale of medical, surgical and orthopaedic goods",,,
405,159,Ersin Dincer,Kinderlobby,0,,,0,,,
160,160,Helene Müller-Bühler,Gast,0,p25000897613,,Freight transport by road,,,
406,160,Oscar J. Schwenk,Pilatus Aircraft,0,702264,,Service activities incidental to air transportation,,,
161,161,0,0,0,0,,0,0,,0
407,161,0,0,0,0,,0,0,,0
162,162,Rudolf Zumbühl,Touring Club Suisse (TCS),5612965,5612965,,Other interest groups,,,
408,162,Monika Sommer,Hauseigentümerverband Schweiz (HEV Schweiz),470639,4692736,,0,,,
163,163,Ottilia Müller,Persönliche Mitarbeiterin,1042929,,,0,,,
409,163,Reinhard Frei,Persönlicher Mitarbeiter,860970,,,Pension funding,,,
164,164,Jürg Maurer,Migros-Genossenschaft-Bund,6557677,,,"Non-specialized wholesale of food, beverages and tobacco",,,
410,164,0,0,0,0,,0,0,,0
165,165,Franz Grüter,Gast,204932,,,Freight transport by road,,,
411,165,0,0,0,0,,0,0,,0
166,166,Patrick Hadi Huber,Persönlicher Mitarbeiter,5725885,5725885,,,,,
412,166,Marc Herkenrath,Alliance Sud,0,p29002609056,,0,,,
167,167,Egger Michel,Alliance Sud,5052741,,,0,,,
413,167,0,0,0,0,,0,0,,0
168,168,Bollag Josef,Institute for Security Analysis and Strategic Netwroking (ISSN Foundation),1132581,363,,0,,,
414,168,Studer Marc,Le Lobby des Citoyens,6910971,4127563,,0,,,
169,169,Roger Hedi,Sport-Toto-Gesellschaft,886880,,,Gambling and betting activities,,,
415,169,Fedy Müller,MUELLER Consulting & Partner,0,,,0,,,
170,170,Cherix François,Gast,,,,,,,
416,170,Leumann Luc,Verkehrs-Club der Schweiz (VCS),,,,,,,
171,171,Furrer Lorenz,Furrer.Hugi & Partner AG,,5105362,,,,,
417,171,Andreas Hugi,Furrer.Hugi & Partner AG,,4513204,,,,,
172,172,Nussbaumer Michael,Persönlicher Mitarbeiter,,6562803,,,Familienmitglied,,
418,172,Stefan Batzli,Agentur für Erneuerbare Energien und Energieeffizienz,,4010952,,,,,
173,173,Tettamanti Elvio,Gast,,p26001067974,,,Familienmitglied,,
419,173,0,0,,0,,,0,,0
174,174,Wartenweiler Johannes,Persönlicher Mitarbeiter,,,,,http://www.sp-bern-nord.ch/aktuell/abstimmungen-wahlen/32-wahlen-2012/133-johannes-wartenweiler,,
420,174,Wyss Manuel,Unia,,,,,,,
175,175,Cueni Thomas,Interpharma,,121692,,,,,
421,175,0,0,,0,,,0,,0
176,176,Zürcher Montali Ines,Persönliche Mitarbeiterin,,625628,,,,,
422,176,Rohr Daniel C.,Rohr Communications,,,,Public relations and communication activities,,,
177,177,Hofmann Max,Fédération Suisse des Fonctionnaires de Police (FSFP),,1020194,,0,,,
423,177,Willener Walter,Association suisse pour un secteur agroalimentaire fort (ASSAF-Suisse),,527355,,0,,,
178,178,Mühlethaler Jan,Schweizer Aussenwirtschaftsförderung (Osec),5643251,p28002992189,,0,,,
