id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id
139,139,Ueli,Leuenberger,m,NR,PES,GE,http://infocube.ch/de/p/1022882/maxwell-sigurd,1022882
140,140,Filippo,Leutenegger,m,NR,FDP.Die Liberalen,ZH,http://infocube.ch/de/p/791471/bolla-vincenz-claudia,791471
141,141,Susanne,Leutenegger Oberholzer,w,NR,SPS,BL,0,0
142,142,Christian,Levrat,m,SR,PSS,FR,http://infocube.ch/de/p/1144647/carrupt-alain,1144647
143,143,Christian,Lohr,m,NR,CVP,TG,http://infocube.ch/de/p/4957570/badertscher-renz-gabriele,4957570
144,144,Filippo,Lombardi,m,SR,CVP,TI,http://infocube.ch/de/p/534408/wyder-rudolf-thomas,534408
145,145,Christian,LÃ¼scher,m,NR,PLR.Les LibÃ©raux-Radicaux,GE,,
146,146,Werner,LuginbÃ¼hl,m,SR,BDP,BE,http://infocube.ch/de/p/5546035/muerner-martin,5546035
147,147,Ruedi,Lustenberger,m,NR,CVP,LU,,
148,148,Thomas,Maier,m,NR,glp,ZH,http://infocube.ch/de/p/5579517/zeyer-christian,5579517
149,149,Jacques-AndrÃ©,Maire,m,NR,PSS,NE,,
150,150,Christa,Markwalder,w,NR,FDP.Die Liberalen,BE,,
151,151,Ada,Marra,w,NR,PSS,VD,http://infocube.ch/de/p/6657780/hamdaoui-mohamed,6657780
152,152,Nadine,Masshardt,w,NR,SPS,BE,https://infocube.ch/de/p/6348926/schefer-andreas#activeMandates,6348926
153,153,Liliane,Maury Pasquier,w,SR,PSS,GE,,
154,154,Lucrezia,Meier-Schatz,w,NR,CVP,SG,,
155,155,Thomas,Minder,m,SR,0,SH,0,0
156,156,Isabelle,Moret,w,NR,PLR.Les LibÃ©raux-Radicaux,VD,,
157,157,Christoph,MÃ¶rgeli,m,NR,SVP,ZH,,
158,158,Tiana Angelina,Moser,w,NR,glp,ZH,0,0
159,159,Geri,MÃ¼ller,m,NR,GPS,AG,,
160,160,Leo,MÃ¼ller,m,NR,CVP,LU,http://infocube.ch/de/p/702264/schwenk-oskar-j,702264
161,161,Philipp,MÃ¼ller,m,NR,FDP.Die Liberalen,AG,0,0
162,162,Thomas,MÃ¼ller,m,NR,SVP,SG,http://infocube.ch/de/p/4692736/sommer-monika,4692736
163,163,Walter,MÃ¼ller,m,NR,FDP.Die Liberalen,SG,,
164,164,Stefan,MÃ¼ller-Altermatt,m,NR,CVP,SO,0,0
165,165,Felix,MÃ¼ri,m,NR,SVP,LU,0,0
166,166,Martin,Naef,m,NR,SPS,ZH,https://infocube.ch/de/p/p29002609056/herkenrath-marc,p29002609056
167,167,Jacques,Neirynck,m,NR,PDC,VD,0,0
168,168,Yves,Nidegger,m,NR,UDC,GE,http://infocube.ch/de/p/4127563/studer-marc,4127563
169,169,Paul,Niederberger,m,SR,CVP,NW,,
170,170,Roger,Nordmann,m,NR,PSS,VD,,
171,171,Ruedi,Noser,m,NR,FDP.Die Liberalen,ZH,https://infocube.ch/de/p/4513204/hugi-andreas,4513204
